Location,ID,Latitude,Longitude,River,ReachID
San Antonio River - Lockwood,LWDC1,35.89667,-121.08722,San Antonio River,8210533
Steamboat Creek - Little Washoe Lake,LWON2,39.3317,-119.8,Steamboat Creek,8935348
Martin Creek - Paradise Valley,MARN2,41.53333,-117.42778,Martin Creek,11137442
Walker River - Mason - Snyder Lane,MASN2,38.91972,-119.18889,Walker River,946050091
Mojave River - Barstow,MBRC1,34.90694,-117.02194,Mojave River,22656105
Cosumnes River - McConnell,MCNC1,38.3578,-121.34374,Cosumnes River,3953273
McDermitt Creek - McDermitt,MDCN2,41.96667,-117.83083,McDermitt Creek,11849049
Tuolumne River - Modesto,MDSC1,37.62722,-120.98639,Tuolumne River,2823972
Bear Creek - McKee Road,MEEC1,37.30889,-120.44389,Bear Creek,19777237
Middle Fork American River - Foresthill,MFAC1,39.00611,-120.75972,Middle Fork American River,14993649
Middle Fork American River - Above Middle Fork Powerhouse,MFPC1,39.02528,-120.59444,Middle Fork American River,14992983
Middle Fork Feather River - Portola,MFTC1,39.81917,-120.44389,Middle Fork Feather River,948020312
Cosumnes River - Michigan Bar,MHBC1,38.50028,-121.04417,Cosumnes River,20192498
Marys River - Above Hot Springs Creek,MHSN2,41.25278,-115.25556,Marys River,10779090
Central Valley - Water Resources Index,MLIC0,38.04278,-121.92,Central Valley,948050047
Mill Creek - Los Molinos,MLMC1,40.05472,-122.02306,Mill Creek,8019544
Mill Creek - Piedra,MLPC1,36.81861,-119.34083,Mill Creek,14907219
McCloud River - McCloud,MMCC1,41.18833,-122.06444,McCloud River,7960779
Mariposa Creek - Mariposa Reservoir,MPAC1,37.29194,-120.14694,Mariposa Creek,19777677
Alameda Creek - Above Diversion Dam,MPTC1,37.4975,-121.7725,Alameda Creek,2809681
Middle Fork Feather River - Merrimac,MRMC1,39.70833,-121.26944,Middle Fork Feather River,8037183
South Fork Eel River - Miranda,MRNC1,40.18222,-123.775,South Fork Eel River,8285120
Yuba River - Marysville,MRYC1,39.17583,-121.52389,Yuba River,7981844
Mormon Slough - Bellota,MSGC1,38.05,-121.01417,Mormon Slough,2975406
McCloud River - Above Shasta Lake,MSSC1,40.95833,-122.21833,McCloud River,7962651
Martis Creek - Martis Creek Lake,MTSC1,39.32722,-120.11333,Martis Creek,8933858
Middle Creek - Upper Lake,MUPC1,39.18278,-122.91083,Middle Creek,948020931
Murrieta Creek - Temecula,MUTC1,33.47972,-117.14306,Murrieta Creek,22549073
