STA,StationName,Elevation,Latitude,Longitude,NearbyCity,HydroNo,BasinNo,Owner,Maintenance,Operator,MapNo,CollectNo,CountyName,BasinName,AgencyName,HydroArea,Sensors
DAN,DANA MEADOWS,9800,37.896162,-119.25726,TUOLUMNE MEADOWS,6,8601,702,702,702,0,0,TUOLUMNE,TUOLUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,16,18,30,31,32,45,52,77,78,82,96,97,98,99,103,104,105,106,107,108,115,194,195,196,197,198,199,246,247"
DDM,DEADMAN CREEK,9250,38.33159637,-119.6541138,GANNS,6,8501,50,702,50,999,0,TUOLUMNE,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,9,10,14,18,30,31,32,45,77,78,82"
DPO,DEVILS POSTPILE,7569,37.62940979,-119.084671,MAMMOTH LAKE,6,9001,55,702,702,999,2,MADERA,SAN JOAQUIN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,17,18,30,31,32,77,78,82,103,104,105,106,107,108,117,118,119,120,121,246,247"
DSS,DISMAL SWAMP,7050,41.993,-120.165,FORT BIDWELL,8,10201,54,54,54,5,0,MODOC,SURPRISE VALLEY,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,30,31,32,82"
EBB,EBBETTS PASS,8700,38.561,-119.808,MARKLEEVILLE,8,10701,54,54,54,19,0,ALPINE,CARSON RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
EP5,ECHO PEAK 5,7800,38.849,-120.079,SOUTH LAKE,8,10601,54,54,54,18,0,EL DORADO,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
FDC,FORESTDALE CREEK,8017,38.6824,-119.9597,CARSON PASS,8,10701,54,54,54,19,0,ALPINE,CARSON RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,82"
FLL,FALLEN LEAF LAKE,6250,38.932,-120.056,SOUTH LAKE TAHOE,8,10601,54,54,54,18,0,EL DORADO,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
FOR,FOUR TREES,5202,39.81278,-121.32168,BUCKS LAKE,5,7301,999,709,709,0,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/O&M Oroville Field Division,SACRAMENTO RIVER,"2,3,4,14,18,45,82,237,238"
FRN,FORNI RIDGE,7600,38.80397034,-120.2159195,STRAWBERRY,5,7701,50,702,50,999,0,EL DORADO,AMERICAN RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,16,18,30,31,32,45,82"
FRW,FAREWELL GAP,9500,36.41521072,-118.5789795,PORTERVILLE,7,9501,702,702,702,999,0,TULARE,KAWEAH RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"3,4,9,10,12,14,18,30,31,32,82,96,97,98,99,246,248"
GEM,GEM PASS,10750,37.78,-119.17,JUNE LAKE,9,10901,702,702,702,25,0,MONO,MONO LAKE,CA Dept of Water Resources/DFM-Hydro-SMN,SOUTH LAHONTAN,"2,3,4,9,10,12,14,18,30,31,32,77,78,82,104,105,106,107,108,246,247"
GIN,GIN FLAT,7050,37.766887,-119.774907,CRANE FLAT,6,8701,702,702,702,0,0,MARIPOSA,MERCED RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,18,26,29,30,31,32,45,77,78,82,96,97,98,99,103,104,105,106,107,108,115,116,117,118,119,120,121,194,195,196,197,198,199"
GKS,GREEK STORE,5600,39.07468033,-120.5615997,MICHIGAN BLUFF,5,7701,50,702,50,999,0,PLACER,AMERICAN RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,16,18,30,31,32,45,82"
GNF,GIANT FOREST (USACE),6400,36.562867,-118.770283,GIANT FOREST,7,9501,56,361,56,0,0,TULARE,KAWEAH RIVER,US Army Corps of Engineers,TULARE LAKE,"2,3,4,14,18,25,30,31,32,45,82,203"
GNL,GIANELLI MEADOW,8400,38.204308,-119.893188,STRAWBERRY,6,8501,50,702,50,18,0,TUOLUMNE,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
GOL,GOLD LAKE,6750,39.674767,-120.617167,SIERRA CITY,5,7301,999,703,703,0,2,SIERRA,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,4,12,14,18,45,82"
