Location,ID,Latitude,Longitude,River
North Fork Feather River - East Branch,NFEC1,40.01111,-121.21694,North Fork Feather River
Calaveras River - New Hogan Lake,NHGC1,38.155,-120.81389,Calaveras River
Alameda Creek - Niles,NILC1,37.58722,-121.95972,Alameda Creek
NF of MF American River - Foresthill,NMFC1,39.02417,-120.7175,NF of MF American River
Stanislaus River - New Melones Lake,NMSC1,37.95,-120.53694,Stanislaus River
Santa Ynez River - Narrows,NRWC1,34.63722,-120.42444,Santa Ynez River
Highland Creek - New Spicer Meadows Reservoir,NSWC1,38.39306,-119.99806,Highland Creek
Navarro River - Navarro,NVRC1,39.17222,-123.66833,Navarro River
San Joaquin River - San Joaquin River - Newman,NWMC1,37.35056,-120.97611,San Joaquin River
Stanislaus River - Orange Blossom,OBBC1,37.78824,-120.7625,Stanislaus River
Klamath River - Orleans,ONSC1,41.30346,-123.5345,Klamath River
Feather River - Lake Oroville,ORDC1,39.53306,-121.51694,Feather River
Orestimba Creek - Orestimba Creek - Newman,OREC1,37.31556,-121.12417,Orestimba Creek
Sacramento River - Ord Ferry,ORFC1,39.62778,-121.99139,Sacramento River
Redwood Creek - Orick,ORIC1,41.29944,-124.05,Redwood Creek
Deer Creek - Scott Road,OTTC1,38.55139,-121.10973,Deer Creek
Middle Fork Yuba River - Below Our House Dam,OURC1,39.41167,-120.99694,Middle Fork Yuba River
Owens Creek - Owens Reservoir,OWCC1,37.31528,-120.18694,Owens Creek
Humboldt River - Palisade,PALN2,40.60722,-116.20194,Humboldt River
San Joaquin River - Patterson,PATC1,37.49389,-121.08111,San Joaquin River
Putah Creek - Guenoc,PCGC1,38.77889,-122.51639,Putah Creek
Palm Canyon Creek - Palm Springs 5S,PCNC1,33.745,-116.53472,Palm Canyon Creek
Kings River - Pine Flat Lake,PFTC1,36.83194,-119.32361,Kings River
Pacheco Creek - Dunneville,PHOC1,36.98,-121.37917,Pacheco Creek
San Benito River - Willow Creek,PIIC1,36.60944,-121.20194,San Benito River
Pit River - Montgomery Creek,PITC1,40.84389,-122.00139,Pit River
Eel River - Lake Pillsbury,PLBC1,39.40833,-122.95834,Eel River
North Fork Feather River - Prattville,PLLC1,40.20917,-121.15694,North Fork Feather River
South Fork Pit River - Likely,PLYC1,41.23083,-120.43611,South Fork Pit River
Panoche Creek - Interstate 5,PNEC1,36.6525,-120.63111,Panoche Creek
Merced River - Yosemite NP at Pohono Bridge,POHC1,37.71694,-119.66528,Merced River
Salinas River - Paso Robles,PRBC1,35.62778,-120.68556,Salinas River
Prosser Creek - Prosser Creek Reservoir,PSRC1,39.37944,-120.13667,Prosser Creek
Del Puerto Creek - Patterson,PTTC1,37.48667,-121.20806,Del Puerto Creek
Piru Creek - Pyramid Lake,PYMC1,34.64472,-118.76305,Piru Creek
Rockbound Tunnel - Rubicon Reservoir,RBBC1,38.98778,-120.22472,Rockbound Tunnel
Sacramento River - Red Bluff,RDBC1,40.15389,-122.20083,Sacramento River
Clear Creek - Igo,RDGC1,40.51333,-122.52306,Clear Creek
Carmel River - Robles Del Rio,RDRC1,36.47444,-121.72778,Carmel River
Russian River - Hacienda Bridge,RIOC1,38.50861,-122.92667,Russian River
Stanislaus River - Ripon,RIPC1,37.72972,-121.10944,Stanislaus River
Maacama Creek - Kellogg,RMKC1,38.64111,-122.76278,Maacama Creek
Cache Creek - Rumsey,RMSC1,38.89,-122.23806,Cache Creek
Rock Creek - Battle Mountain,ROCN2,40.825,-116.58333,Rock Creek
Bear River - Rollins Lake,ROLC1,39.13556,-120.94917,Bear River
Russian River - Highway 1 Bridge near Jenner,RROC1,38.43389,-123.10083,Russian River
Rubicon River - Foresthill,RUFC1,39.00028,-120.72306,Rubicon River
Sacramento Valley - Water Resources Index,SACC0,38.4542,-121.4983,Sacramento Valley
Sacramento River - Sacramento - I Street,SACC1,38.58886,-121.50528,Sacramento River
American River - Sacramento - H Street,SAMC1,38.56889,-121.4225,American River
Salmon River - Somes Bar,SBRC1,41.37778,-123.47639,Salmon River
Spanish Creek - Keddie,SCBC1,40.00306,-120.95333,Spanish Creek
Sycan River - Beatty,SCNO3,42.48611,-121.27778,Sycan River
Eel River - Scotia,SCOC1,40.49167,-124.09861,Eel River
Santa Clara River - Piru,SCPC1,34.40361,-118.73833,Santa Clara River
Steamboat Creek - Steamboat,SCRN2,39.37778,-119.7425,Steamboat Creek
Tule River - Lake Success,SCSC1,36.06111,-118.92194,Tule River
Steamboat Creek - Sparks - Cleanwater Way,SCWN2,39.51305,-119.71139,Steamboat Creek
Salinas River - Soledad,SDDC1,36.41111,-121.31833,Salinas River
Klamath River - Seiad Valley,SEIC1,41.85389,-123.23111,Klamath River
Sespe Creek - Fillmore,SESC1,34.44166,-118.92732,Sespe Creek
San Francisquito Creek - Stanford University,SFCC1,37.42333,-122.18833,San Francisquito Creek
Stony Creek - Stony Gorge Reservoir,SGEC1,39.58306,-122.53306,Stony Creek
Sagehen Creek - Truckee,SGNC1,39.43167,-120.23694,Sagehen Creek
Sacramento River - Shasta Lake,SHDC1,40.71417,-122.41611,Sacramento River
Napa River - Saint Helena,SHEC1,38.51139,-122.45472,Napa River
San Luis Rey River - Shearer Crossing,SHRC1,33.33278,-117.14972,San Luis Rey River
Scotts Creek - Lakeport,SKPC1,39.09556,-122.96,Scotts Creek
South Fork Kern River - Onyx,SKRC1,35.7375,-118.17278,South Fork Kern River
San Luis Rey River - Oceanside,SLOC1,33.21806,-117.35944,San Luis Rey River
Salsipuedes Creek - Lompoc,SLUC1,34.58861,-120.4075,Salsipuedes Creek
Santa Margarita River - Temecula,SMHC1,33.47389,-117.14139,Santa Margarita River
San Antonio River - Lake San Antonio,SNRC1,35.79667,-120.88556,San Antonio River
Arroyo Seco - Soledad,SOLC1,36.28056,-121.32167,Arroyo Seco
Middle Fork Cosumnes River - Somerset,SOSC1,38.62417,-120.70056,Middle Fork Cosumnes River
Deer Creek - Scotts Flat Reservoir,SOVC1,39.27361,-120.93111,Deer Creek
Salinas River - Spreckels,SPRC1,36.63111,-121.67139,Salinas River
Pilot Creek - Above Stumpy Meadows Reservoir,SPYC1,38.89472,-120.56722,Pilot Creek
Santa Ana River - San Bernardino - E Street,SREC1,34.065,-117.29944,Santa Ana River
Santa Ana River - Mentone,SRWC1,34.10834,-117.10059,Santa Ana River
Santa Rosa Creek - Santa Rosa,SSAC1,38.43667,-122.72361,Santa Rosa Creek
Sisquoc River - Sisquoc,SSQC1,34.83972,-120.16722,Sisquoc River
Stevens Creek - Stevens Creek Reservoir,STDC1,37.29861,-122.07611,Stevens Creek
Little Truckee River - Stampede Reservoir,STPC1,39.47056,-120.10306,Little Truckee River
Merced River - Stevinson,STVC1,37.37083,-120.92944,Merced River
Carson River - Carson City,STWN2,39.10778,-119.71222,Carson River
South Fork Yuba River - Lake Spaulding,SUAC1,39.32639,-120.64222,South Fork Yuba River
